Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
03-11-2008,-0.4234,-0.5256,-0.5988,-0.5569,-0.517,-0.4132,-0.5214,-0.4925,-0.5114,-0.4812,-0.4944,-0.4689,-0.5552,-0.5405,-0.4721,-0.4871,-0.6261,-0.3649,-0.4736,-0.5346,-0.5699,-0.4425,-0.2747,-0.5405,-0.4219,-0.2788,-0.5195,-0.5334,-0.4449,-0.4523
01-12-2008,-0.5283,-0.6601,-0.7567,-0.7159,-0.6694,-0.5062,-0.6418,-0.6554,-0.7105,-0.6219,-0.6273,-0.5987,-0.68,-0.6684,-0.5774,-0.5737,-0.7676,-0.5614,-0.687,-0.6992,-0.6682,-0.5709,-0.4079,-0.66,-0.5805,-0.4284,-0.6405,-0.6381,-0.5704,-0.5716
01-01-2009,-0.426,-0.6744,-0.6739,-0.7113,-0.5963,-0.6018,-0.6474,-0.5514,-0.5946,-0.5808,-0.6144,-0.5618,-0.5539,-0.6042,-0.5054,-0.4806,-0.6603,-0.5126,-0.5588,-0.6445,-0.6053,-0.502,-0.4781,-0.4903,-0.5705,-0.5262,-0.4889,-0.5693,-0.5656,-0.5603
02-02-2009,-0.4025,-0.6581,-0.62,-0.6479,-0.5739,-0.5651,-0.5927,-0.5315,-0.5475,-0.5529,-0.5635,-0.5219,-0.535,-0.5612,-0.4891,-0.465,-0.637,-0.447,-0.5439,-0.6165,-0.5888,-0.4619,-0.3919,-0.4716,-0.5355,-0.5199,-0.4754,-0.5555,-0.5514,-0.5216
02-03-2009,-0.3875,-0.6482,-0.602,-0.601,-0.5549,-0.5335,-0.555,-0.5202,-0.5094,-0.5315,-0.5189,-0.5118,-0.5095,-0.5645,-0.457,-0.4617,-0.6106,-0.4686,-0.5053,-0.576,-0.5624,-0.4611,-0.402,-0.4681,-0.5194,-0.5069,-0.4743,-0.5201,-0.543,-0.54
01-04-2009,-0.2591,-0.4483,-0.3948,-0.4115,-0.3637,-0.3713,-0.3851,-0.3058,-0.3223,-0.332,-0.3437,-0.3469,-0.3006,-0.3649,-0.2795,-0.2655,-0.3824,-0.3066,-0.3534,-0.4041,-0.3926,-0.2704,-0.2646,-0.3134,-0.3402,-0.2842,-0.3024,-0.3142,-0.3875,-0.294
04-05-2009,-0.209,-0.3129,-0.3478,-0.3346,-0.2618,-0.293,-0.3394,-0.2382,-0.2475,-0.2499,-0.27,-0.3053,-0.2085,-0.2606,-0.2286,-0.1724,-0.2842,-0.2585,-0.319,-0.3763,-0.3031,-0.242,-0.2334,-0.2196,-0.258,-0.2258,-0.2012,-0.2446,-0.271,-0.2268
01-06-2009,-0.041,-0.121,-0.0852,-0.1406,-0.0126,-0.0729,-0.1295,-0.0205,-0.0007,0.0131,-0.0308,-0.0932,0.0044,-0.0383,0.0024,0.0394,-0.0595,-0.0558,0.0008,-0.0891,-0.0887,-0.025,0.0784,0.0147,-0.0016,0.0408,0.0284,-0.0035,-0.0353,-0.0406
01-07-2009,0.0758,-0.0048,0.0183,-0.0213,0.0951,0.0761,-0.0083,0.0927,0.1042,0.1125,0.0929,0.0169,0.1239,0.0848,0.1088,0.1552,0.0469,0.0787,0.0854,-0.004,0.0522,0.0661,0.1929,0.1131,0.0857,0.1323,0.1271,0.1186,0.0772,0.0604
03-08-2009,0.0552,0.0039,0.0626,-0.0212,0.0878,0.0647,-0.0083,0.0867,0.0973,0.0836,0.0874,0.0141,0.1297,0.0948,0.0906,0.1364,0.0427,0.0798,0.0422,0.0228,0.0204,0.0925,0.1881,0.1035,0.0749,0.1206,0.1103,0.1056,0.0499,0.0815
01-09-2009,0.0591,0.0126,0.0845,-0.019,0.0876,0.0526,-0.002,0.0936,0.0793,0.095,0.0911,0.0206,0.1218,0.075,0.0796,0.1245,0.0421,0.0919,0.0428,0.036,0.0426,0.1107,0.2183,0.0938,0.0915,0.1086,0.1063,0.0965,0.0406,0.0801
01-10-2009,0.1947,0.1472,0.1995,0.1271,0.2003,0.1489,0.1409,0.2457,0.1911,0.2048,0.2273,0.1618,0.2206,0.2054,0.1659,0.2325,0.1601,0.2293,0.1485,0.1574,0.1784,0.2306,0.3164,0.1888,0.213,0.2232,0.1953,0.2334,0.1491,0.2405
03-11-2009,0.3959,0.2892,0.3883,0.3056,0.3069,0.2682,0.3221,0.3683,0.3262,0.3037,0.3755,0.307,0.3419,0.4056,0.2933,0.4071,0.2915,0.4237,0.2454,0.292,0.3067,0.4036,0.4634,0.3646,0.3263,0.3327,0.3769,0.3254,0.293,0.3547
01-12-2009,0.6398,0.4897,0.61,0.614,0.5122,0.4613,0.5276,0.5828,0.5947,0.4767,0.6089,0.5344,0.5516,0.6357,0.499,0.6372,0.5329,0.6832,0.413,0.5503,0.563,0.6312,0.6043,0.568,0.5468,0.5414,0.5879,0.5086,0.5004,0.5934
04-01-2010,0.5632,0.4214,0.5607,0.5349,0.4488,0.435,0.4596,0.5458,0.5267,0.4138,0.5407,0.4667,0.4877,0.5644,0.4377,0.5458,0.4706,0.601,0.3487,0.4906,0.5126,0.5433,0.5362,0.485,0.4983,0.4707,0.5056,0.457,0.4532,0.5523
01-02-2010,0.6996,0.526,0.6413,0.5614,0.5437,0.5374,0.4561,0.6812,0.5847,0.472,0.5677,0.5286,0.5676,0.6679,0.5332,0.6714,0.55,0.7155,0.4203,0.5921,0.6079,0.6327,0.5673,0.5897,0.5868,0.5702,0.631,0.5271,0.5815,0.6137
02-03-2010,0.8199,0.6633,0.6876,0.6182,0.6062,0.6176,0.5317,0.7818,0.6062,0.5371,0.627,0.6037,0.6566,0.7757,0.6055,0.762,0.6061,0.8511,0.468,0.6331,0.7312,0.7142,0.6399,0.6723,0.6479,0.6307,0.7223,0.5916,0.6623,0.7146
01-04-2010,0.7637,0.6187,0.635,0.5687,0.559,0.5972,0.4958,0.7475,0.5673,0.4906,0.588,0.5698,0.5982,0.7513,0.5579,0.6897,0.558,0.8033,0.4184,0.5902,0.6718,0.6355,0.637,0.6397,0.6074,0.5601,0.6724,0.5292,0.6248,0.6559
03-05-2010,0.6376,0.5093,0.5282,0.4262,0.436,0.5198,0.3581,0.6361,0.4563,0.3692,0.4818,0.4628,0.4685,0.6118,0.4213,0.5788,0.4008,0.6938,0.3459,0.4744,0.5593,0.5293,0.5616,0.5221,0.5011,0.4529,0.5551,0.4055,0.5024,0.5126
01-06-2010,0.4696,0.2256,0.3303,0.1832,0.1905,0.2866,0.1024,0.4414,0.2656,0.1054,0.2934,0.1841,0.2227,0.479,0.1521,0.461,0.1346,0.606,0.1037,0.267,0.3043,0.3439,0.479,0.3546,0.3072,0.2421,0.3808,0.1851,0.3785,0.2903
01-07-2010,0.5244,0.2794,0.4254,0.2647,0.2844,0.3865,0.1787,0.5216,0.3538,0.215,0.3813,0.2611,0.2964,0.5108,0.2983,0.51,0.2111,0.6728,0.1975,0.3632,0.3228,0.4533,0.6479,0.4436,0.4023,0.3451,0.4779,0.3007,0.4714,0.36
02-08-2010,0.4571,0.2333,0.3098,0.1835,0.24,0.3522,0.1225,0.4812,0.3061,0.178,0.3162,0.2356,0.2531,0.426,0.2642,0.4849,0.1485,0.5857,0.2164,0.2635,0.2788,0.3275,0.6041,0.4065,0.3388,0.292,0.4456,0.215,0.4143,0.2739
01-09-2010,0.4204,0.242,0.3245,0.2036,0.2829,0.4372,0.1703,0.5122,0.3447,0.195,0.3818,0.2565,0.3138,0.5003,0.3182,0.5429,0.1665,0.6747,0.2845,0.2454,0.2677,0.3188,0.5877,0.4472,0.3526,0.3378,0.4846,0.2715,0.4862,0.3432
01-10-2010,0.4117,0.2376,0.3378,0.1935,0.2694,0.4555,0.2021,0.4862,0.3352,0.1869,0.3784,0.246,0.3297,0.4932,0.3381,0.5356,0.1717,0.6746,0.2968,0.2422,0.2649,0.3306,0.5811,0.4171,0.3383,0.3147,0.4657,0.2647,0.4787,0.3354
01-11-2010,0.5901,0.3626,0.528,0.3759,0.4236,0.6825,0.3629,0.6636,0.5652,0.3536,0.5586,0.4237,0.4956,0.6626,0.4637,0.6916,0.3156,0.8393,0.6198,0.3725,0.3913,0.4415,0.8301,0.6193,0.6028,0.5559,0.6761,0.4437,0.6319,0.5305
