Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
01-02-2008,81.6861,20.6700,65.0871,65.6400,254.4400,20.4800,36.8812,26.4140,73.6700,159.0800,76.0830,38.1200,26.9778,88.5820,186.8972,191.0750,19.8300,23.8213,66.2600,84.8559,63.2000,38.7695,52.3300,23.2460,393.6100,26.5134,31.9890,251.8600,69.6400,91.1512
03-03-2008,76.4834,18.8600,61.3655,59.4500,234.0000,18.9500,33.8636,24.6898,69.1800,144.4900,69.1330,36.2400,24.5957,83.9420,170.8390,180.7160,18.4500,23.2652,56.8200,77.6972,56.5400,36.3778,50.7700,21.9060,367.0100,24.5441,30.1660,229.8400,65.2880,88.1862
01-04-2008,72.1578,16.6100,55.5073,52.2700,211.5100,17.3300,30.7727,21.7092,61.4400,128.4800,63.0630,32.7300,22.2393,74.9750,157.8463,164.8360,16.2900,21.5323,51.0000,70.5211,50.2900,32.8232,46.3000,19.5730,332.2000,21.8413,26.8180,205.9600,62.0270,83.3252
02-05-2008,80.2883,18.2200,59.5311,57.2000,232.8900,18.6900,34.3885,23.8943,66.7600,144.3500,69.2210,36.6400,24.6136,80.3650,175.4732,180.4900,17.7300,23.6489,57.5600,77.5790,55.6700,36.9518,50.9300,21.1510,373.5700,24.0328,28.6810,225.3100,66.8540,93.1394
02-06-2008,74.5291,16.4400,53.7170,53.2500,215.1600,17.7100,32.1515,22.0231,61.1400,132.0600,63.1560,34.6300,23.0976,73.8620,163.8686,167.2370,16.3900,22.3138,50.8800,72.6782,49.6200,34.8933,47.0900,19.4910,347.6200,21.7065,25.9210,208.0700,62.0210,90.2039
01-07-2008,62.4855,13.0700,42.5052,42.3200,172.2200,14.4400,26.8994,17.9009,50.8100,105.1500,51.4950,28.0900,18.7428,62.0640,132.9204,138.4210,13.4200,18.1349,40.0400,59.5203,39.0200,28.6503,39.2100,16.0700,291.4221,17.7518,21.0300,165.9682,51.6120,74.3707
01-08-2008,70.1444,14.2100,45.9516,46.2900,188.6100,15.9400,28.7557,19.8810,55.9800,118.2000,57.4360,30.7300,20.4173,68.3120,146.0863,154.5550,14.6300,20.1860,45.7500,64.6373,44.4500,31.5296,43.8400,18.0960,322.6959,19.7631,24.1310,185.4224,57.9610,80.7587
01-09-2008,71.2993,14.0800,45.3407,45.9400,189.2200,16.3300,28.4542,20.1093,57.1800,116.2300,57.0830,30.4700,20.5807,70.2220,149.8597,159.2310,14.5300,19.9279,45.0800,64.8353,44.1900,31.3115,43.9000,18.4720,318.6542,20.2757,24.3920,185.7461,58.9890,79.6447
01-10-2008,63.6907,12.1800,39.2935,39.9800,170.7900,15.3300,25.4016,17.8874,52.0000,105.4200,51.5250,26.9100,19.0934,63.8840,141.2255,147.0990,13.1300,17.6925,38.0200,56.2307,39.3000,27.6122,41.8200,17.3870,283.2859,17.9600,22.9600,168.6013,55.1660,68.7618
03-11-2008,50.0887,9.2600,28.5156,30.2300,137.6800,12.7600,20.1406,14.1520,41.6600,84.0000,41.4510,20.9700,15.4002,49.2000,113.8496,114.1640,10.3600,14.1305,27.6900,43.0757,31.4300,21.1922,35.1400,12.8030,226.9026,14.0723,16.8030,139.2457,44.2260,55.5660
