Date,Birla Sun Life Advantage Fund,Birla Sun Life Dividend Yield Plus,Birla Sun Life Equity Fund,Birla Sun Life India GenNext Fund,Birla Sun Life Special Situations Fund,DSP BR Equity Fund,DSP BR Focus 25 Fund,DSP BR Opportunities Fund,DWS Investment Opportunity Fund,Franklin India Flexi Cap Fund,Franklin India High Growth Companies Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Core & Satellite Fund,HDFC Equity Fund,HDFC Growth Fund,HDFC Premier Multi-Cap Fund,HSBC India Opportunities Fund,ICICI Pru Dynamic Plan,ICICI Pru Exports and Other Services Fund,IDFC Classic Equity Fund Plan A,Kotak Select Focus Fund,L&T India Special Situations Fund,Mirae Asset India Opportunities Fund,PineBridge India Equity Fund Standard Plan,Principal Growth Fund,Reliance Equity Opportunities Fund,Reliance Growth Fund,Reliance Regular Savings Fund Equity,Reliance Top 200 Fund,Reliance Vision Fund,SBI Contra Fund,SBI Magnum Multicap Fund,SBI Magnum Multiplier Plus 93,SBI PSU Fund,Sundaram PSU Opportunities Fund,Tata Dividend Yield Fund,Tata Equity Opportunities Fund,Tata Equity P/E Fund,Tata Ethical Fund,Taurus Starshare,Templeton India Growth Fund,UTI-MNC Fund,UTI-Services Industries Fund
01-11-2006,118.96,42.07,169.19,14.79,,,,52.37,22.52,20.08,,128.59,60.67,25.22,140.19,45.72,17.7,26.05,59.82,13.21,14.67,,11.93,,,48.06,19.97,250.23,14.99,,172.67,35.47,14.91,48.51,,,17.07,54.47,24.26,72.9,37.23,64.44,34.17,44.8
01-12-2006,125.58,41.96,180.37,15.49,,,,55.86,23.4,20.96,,134.86,63.94,26.15,147.94,48.37,18.57,28.53,63.16,14.43,15.59,,12.89,,,50.13,21.04,261.78,15.67,,178.48,37.96,16.06,52.55,,,17.47,57.9,25.19,78.57,40.81,64.61,34.69,50.17
01-01-2007,124.28,41.94,180.72,15.34,,,,56.23,23.54,21.06,,137.53,63.17,25.79,145.39,48.41,18.23,29.37,65.81,15.44,15.59,,12.8,,,50,21.69,266.74,15.64,,183.67,37.5,15.85,54.03,,,17.2,58.08,25.27,78.09,41.96,65.39,34.73,49.44
01-02-2007,129.21,43.5,188.79,16.19,,,,57.05,23.84,21.46,,144.25,64.62,26.15,152.42,49.38,18.92,29.66,68.14,15.99,16.42,,13.37,,,51.88,22.26,279.4,16.25,,186.17,39.2,16.25,55.5,,,18.08,60.25,26.49,81.81,42.55,69.39,35.2,51.82
01-03-2007,119.45,40.38,172.01,15.21,,,,52.66,22.12,19.71,,132.64,60.98,24.15,143.68,45.32,17.63,26.87,63.7,15.12,14.97,,12.03,,,46.97,20.71,262.09,14.62,,173.56,35.65,14.51,50.67,,,16.53,55.31,24.28,73.25,37.72,62.35,33.04,47.18
01-04-2007,118.95,39.94,174.25,15.54,,,,52.17,21.94,19.57,,132.81,60.3,23.94,142.6,45.46,17.63,26.74,63.02,14.96,14.89,,12.07,,,46.52,20.35,259.54,14.45,,169.7,35.55,14.62,50.68,,,16.41,55.32,24.13,72.87,37.28,62.32,32.67,47
01-05-2007,125.17,42.75,186.23,16.33,,,,56.01,23.42,20.97,,142.36,65.82,25.18,151.16,48.58,18.76,28.53,67.14,16.01,15.93,,12.87,,,49.44,21.5,275.5,15.66,,183.8,38.86,15.45,54.14,,,17.77,59.32,26.75,78.6,40.72,68.5,34.4,48.94
01-06-2007,132.97,46.15,203.87,17.42,,,,59.64,25.3,22.41,,152.13,70.34,26.61,161.9,53.31,19.89,30.59,70.09,17.1,16.89,,13.77,,,52.43,22.83,296.98,16.95,,201.07,41.67,16.14,56.84,,,19.18,64.15,29.63,81.96,45.08,73.7,37.3,52.17
01-07-2007,135.01,47.13,207.64,17.63,,10.41,,61.03,26.28,22.92,,156.01,73.27,27.01,165.31,54.7,19.96,31.18,70.73,17.51,17.21,,14.19,,10.09,53.35,23.41,307.46,17.3,,207.32,41.97,16.17,59.71,,,19.67,66.66,30.4,86.05,45.79,74.07,38.7,53.53
01-08-2007,135.23,46.83,212.68,17.74,,10.24,,61.92,27.54,23.26,9.73,156.9,74.51,27.68,165.82,56.7,20.4,29.98,71.08,17.07,17.59,,14.04,,10.1,53.16,22.97,311.59,17.41,,211.09,42.56,16.53,61.47,,,19.73,66.18,31.04,88.94,47.41,74.18,37.29,53.06
01-09-2007,138.54,47.12,217.45,17.86,,10.56,,63.45,28.57,23.76,10.05,159.14,76.32,28.44,168.83,58.17,20.92,30.65,72.23,17.34,18.05,,14.18,,10.35,54.16,23.25,311.78,17.6,9.9,214.28,44.05,16.92,63.28,,,20.33,67.55,31.3,91.72,50.2,75.64,38.1,53.66
