Date,Birla Sun Life Advantage Fund,Birla Sun Life Dividend Yield Plus,Birla Sun Life Equity Fund,Birla Sun Life India GenNext Fund,Birla Sun Life Special Situations Fund,DSP BR Equity Fund,DSP BR Focus 25 Fund,DSP BR Opportunities Fund,DWS Investment Opportunity Fund,Franklin India Flexi Cap Fund,Franklin India High Growth Companies Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Core & Satellite Fund,HDFC Equity Fund,HDFC Growth Fund,HDFC Premier Multi-Cap Fund,HSBC India Opportunities Fund,ICICI Pru Dynamic Plan,ICICI Pru Exports and Other Services Fund,IDFC Classic Equity Fund Plan A,Kotak Select Focus Fund,L&T India Special Situations Fund,Mirae Asset India Opportunities Fund,PineBridge India Equity Fund Standard Plan,Principal Growth Fund,Reliance Equity Opportunities Fund,Reliance Growth Fund,Reliance Regular Savings Fund Equity,Reliance Top 200 Fund,Reliance Vision Fund,SBI Contra Fund,SBI Magnum Multicap Fund,SBI Magnum Multiplier Plus 93,SBI PSU Fund,Sundaram PSU Opportunities Fund,Tata Dividend Yield Fund,Tata Equity Opportunities Fund,Tata Equity P/E Fund,Tata Ethical Fund,Taurus Starshare,Templeton India Growth Fund,UTI-MNC Fund,UTI-Services Industries Fund
01-02-2005,62.25,27.76,79.44,,,,,25.93,12.43,,,61.35,34.78,11.8,63.95,23.83,,13.38,25.8,,,,,,,27,,112.57,,,83.36,14.65,,,,,10.91,27.87,13.72,34.56,16.69,36.48,20.66,25.35
01-03-2005,64.76,28.21,80.83,,,,,26.9,12.69,,,64.27,36.09,12.25,67.76,24.63,,13.63,27.03,,,,,,,27.69,,119.59,,,89.08,15.84,,,,,11.25,28.99,14.24,37.48,19.38,37.32,21.2,26.09
01-04-2005,65.47,28.6,82.14,,,,,26.8,12.67,9.8,,64.19,36.49,12.51,68.24,24.49,,13.3,27.3,,,,,,,27.67,10.06,122.63,,,88.13,16.36,,,,,11.19,28.95,14.01,37.33,19.04,36.37,21.35,26.49
01-05-2005,61.98,27.55,81.75,,,,,25.08,11.42,9.34,,61.46,35.93,12.25,65.36,23.86,9.8,12.4,25.97,,,,,,,26.02,9.66,123.3,,,86.09,15.7,,,,,10.97,28.04,13.43,36.7,18.17,34.68,21.41,24.56
01-06-2005,66.86,29.73,90.4,,,,,26.96,12.37,10.18,,66.74,37.77,13.16,71.78,25.56,10.45,13.49,28.78,,,,,,,28.12,10.29,133.52,,,92.05,17.2,,23.88,,,11.92,30.53,14.67,38.81,19.85,36.98,22.8,26.87
01-07-2005,69.07,30.02,93.3,,,,,28.12,12.7,10.67,,69.64,37.97,13.52,74.34,25.69,10.88,13.65,29.83,,,,,,,28.24,10.76,136.05,10.03,,92.23,17.91,,24.45,,,11.92,31.06,14.97,38.38,19.75,38.52,23.2,28.29
01-08-2005,73.57,32.21,100.41,,,,,30.61,13.38,11.52,,74.11,41.9,14.84,80.94,27.36,11.69,14.94,33.36,,,,,,,30.86,11.65,150.95,10.04,,100.41,19.88,,27.44,,,12.71,33.92,16.39,41.91,22,40.77,24.39,30.39
01-09-2005,77.71,33.93,109.42,10.46,,,,32.92,14.55,12.33,,80.37,46.6,15.94,85.99,29.33,12.34,16.56,37.06,,10.89,,,,,33.32,12.45,168,10.04,,105.54,22.19,,30.62,,,13.48,37.37,17.77,45.3,25.75,43.01,25.93,31.74
01-10-2005,83.61,35.26,117.04,11.16,,,,35.33,15.1,13.16,,82.75,48.85,17.18,93.06,31.38,13.18,17.6,38.43,,11.19,,,,,34.86,12.97,174.28,10.05,,114.32,23.04,10,32.41,,,13.93,38.99,18.89,47.61,25.74,46.15,26.69,33.73
01-11-2005,78.46,32.56,106.09,10.35,,,,32.37,13.59,12.15,,75.83,44.94,15.7,88.3,28.8,12.06,16.22,34.59,,10.14,,,,,31.24,11.74,157.33,10.05,,105.35,21.53,9.59,29.9,,,12.79,35.24,17.06,43.2,22.77,42.56,25.35,31.52
01-12-2005,88.42,36.55,121.54,11.58,,,,36.92,14.99,14.14,,87.91,50.13,17.86,100.95,32.46,13.72,18.16,38.93,10,11.46,,,,,35.69,13.62,176.71,10.04,,120.08,24.61,10.74,35.14,,,14.5,40.1,19.02,49.5,26.29,47.27,28.85,35.14
