Date,Birla Sun Life Equity Fund,DSP BR Opportunities Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Equity Fund,HDFC Growth Fund,Principal Growth Fund,Reliance Growth Fund,Reliance Vision Fund,SBI Contra Fund,Tata Ethical Fund,Taurus Starshare,UTI-MNC Fund,UTI-Services Industries Fund
01-04-2005,82.14,26.8,64.19,36.49,68.24,24.49,27.67,122.63,88.13,16.36,37.33,19.04,21.35,26.49
01-05-2005,81.75,25.08,61.46,35.93,65.36,23.86,26.02,123.3,86.09,15.7,36.7,18.17,21.41,24.56
01-06-2005,90.4,26.96,66.74,37.77,71.78,25.56,28.12,133.52,92.05,17.2,38.81,19.85,22.8,26.87
01-07-2005,93.3,28.12,69.64,37.97,74.34,25.69,28.24,136.05,92.23,17.91,38.38,19.75,23.2,28.29
01-08-2005,100.41,30.61,74.11,41.9,80.94,27.36,30.86,150.95,100.41,19.88,41.91,22,24.39,30.39
01-09-2005,109.42,32.92,80.37,46.6,85.99,29.33,33.32,168,105.54,22.19,45.3,25.75,25.93,31.74
01-10-2005,117.04,35.33,82.75,48.85,93.06,31.38,34.86,174.28,114.32,23.04,47.61,25.74,26.69,33.73
01-11-2005,106.09,32.37,75.83,44.94,88.3,28.8,31.24,157.33,105.35,21.53,43.2,22.77,25.35,31.52
01-12-2005,121.54,36.92,87.91,50.13,100.95,32.46,35.69,176.71,120.08,24.61,49.5,26.29,28.85,35.14
01-01-2006,126.52,39.06,92.08,51.96,107.01,33.59,38.16,189.18,125.97,24.92,51.93,28.19,29.82,36.77
01-02-2006,134.57,41.66,98.45,53.45,112.48,35.61,41.13,201.18,132.87,26.89,57.67,30.11,32.07,38.19
01-03-2006,142.33,44.4,105.74,56.14,119.5,37.15,43.05,210.22,141.83,29.08,61.33,32.38,34.18,39.08
01-04-2006,155.69,48.3,113.29,60.17,127.15,41.24,47.36,229.76,155.75,32.26,69.48,34.17,36.72,40.78
01-05-2006,158.59,50.19,118.47,65.15,130.61,43.13,48.77,247.31,165.65,35.14,71.94,37.5,35.96,41.18
01-06-2006,133.81,42.71,99.08,54.92,112.33,36.55,40.66,215.11,136.11,29.57,59.86,30.82,30.55,36
01-07-2006,130.63,43.09,100.29,50.41,113.82,36.03,39.89,199.52,137.65,28.99,57.88,28.81,28.65,34.53
01-08-2006,131.54,43.12,102.4,49.58,115.65,37.31,39.18,193.2,138.71,28.6,58.3,28.44,28.44,35.31
01-09-2006,147.46,47.2,113.03,54.2,128.06,40.93,42.83,218.12,152.2,31.7,65.04,32.17,31.75,38.98
01-10-2006,158.44,49.44,119.48,57.28,133.81,43.45,45.35,234.8,160.53,33.43,68.49,35.05,32.89,41.29
01-11-2006,169.19,52.37,128.59,60.67,140.19,45.72,48.06,250.23,172.67,35.47,72.9,37.23,34.17,44.8
01-12-2006,180.37,55.86,134.86,63.94,147.94,48.37,50.13,261.78,178.48,37.96,78.57,40.81,34.69,50.17
01-01-2007,180.72,56.23,137.53,63.17,145.39,48.41,50,266.74,183.67,37.5,78.09,41.96,34.73,49.44
01-02-2007,188.79,57.05,144.25,64.62,152.42,49.38,51.88,279.4,186.17,39.2,81.81,42.55,35.2,51.82
01-03-2007,172.01,52.66,132.64,60.98,143.68,45.32,46.97,262.09,173.56,35.65,73.25,37.72,33.04,47.18
01-04-2007,174.25,52.17,132.81,60.3,142.6,45.46,46.52,259.54,169.7,35.55,72.87,37.28,32.67,47
01-05-2007,186.23,56.01,142.36,65.82,151.16,48.58,49.44,275.5,183.8,38.86,78.6,40.72,34.4,48.94
01-06-2007,203.87,59.64,152.13,70.34,161.9,53.31,52.43,296.98,201.07,41.67,81.96,45.08,37.3,52.17
01-07-2007,207.64,61.03,156.01,73.27,165.31,54.7,53.35,307.46,207.32,41.97,86.05,45.79,38.7,53.53
01-08-2007,212.68,61.92,156.9,74.51,165.82,56.7,53.16,311.59,211.09,42.56,88.94,47.41,37.29,53.06
01-09-2007,217.45,63.45,159.14,76.32,168.83,58.17,54.16,311.78,214.28,44.05,91.72,50.2,38.1,53.66
01-10-2007,242.73,70.8,179.26,83.69,184.17,64.36,60.23,354.09,238.7,50,102.1,57.45,39.75,60.34
01-11-2007,269.86,78.74,196.38,96.75,209.25,73.34,68.31,401.88,264.11,54.44,113.25,64.73,41.86,68.52
01-12-2007,278.43,80.68,197.94,99.03,206.18,74.9,70.5,419.16,264.45,56.49,117.92,71.05,42.3,67.49
01-01-2008,308.33,90.54,212.84,107.23,224.59,81.29,76.64,476.85,289.74,62.63,131.24,78.67,46.07,73.44
