Date,Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),LIC NOMURA MF Equity Fund - (G),Sundaram Growth Fund - (G),Tata Pure Equity Fund - (G),UTI-Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Top 100 Fund (G)
01-05-2008,317.38,31.89,78.78,143.03,111.17,93.88,25.53,121.73,173.61,40.94,111.44,150.55,95.28
01-06-2008,305.8,30.23,75.19,137.68,107.24,89.71,23.56,118.96,170.04,39.41,105.45,144.19,89.52
01-07-2008,242.33,23.34,58.91,111.83,87.69,70.64,19.08,95.18,137.59,32.34,82.67,116.77,70.19
01-08-2008,272.37,25.21,65.08,126.74,97.43,78.7,21.79,104.79,149.95,35.32,92.34,130.16,80.48
01-09-2008,276.32,24.78,65.11,129.16,96.53,79.17,21.28,102.92,149.6,35.87,91.43,129.42,79.91
01-10-2008,259.24,22.72,57.97,120.23,89.57,70.81,19.35,91.82,135.75,33.24,83.41,118.28,71.87
01-11-2008,200.69,17.36,43.41,92.32,68.98,52.92,14.15,69.83,104.36,26.22,65.02,95.16,55.6
01-12-2008,185.59,15.76,39.47,84.59,64.98,49.9,12.89,61.99,99.45,24.3,60.27,86.95,51.87
01-01-2009,204.83,17.44,43.84,94.48,72.01,55.87,15.16,71.29,112.6,26.62,66.86,95.16,56.16
01-02-2009,194.85,16.27,41.18,88.07,69.51,53.26,14.33,63.03,105.02,25.66,63.2,92.24,54.08
01-03-2009,186.97,15.56,39.19,84.38,67.59,51.08,13.51,59.51,101.69,24.82,60.53,89.95,52.54
01-04-2009,206.1,16.87,42.69,93.54,73.75,55.97,14.58,62.13,108.1,26.62,64.87,96.54,56.11
01-05-2009,235.16,19.05,49.07,107.58,82.25,63.23,16.55,71.57,118.69,29.3,72.92,107.01,62.23
01-06-2009,296.44,24.91,64.39,140.37,100.86,79.05,22.17,94.84,157.56,36.1,93.46,131.47,80.82
